PNAME,DOB,DOJ,GENDER,PROF1,PROF2,SALARY
ANAND,12-Apr-66,21-Apr-92,M,PASCAL,BASIC,3200
ALTAF,02-Jul-64,13-Nov-90,M,CLIPPER,COBOL,2800
JULIANA,31-Jan-60,21-Apr-90,F,COBOL,DBASE,3000
KAMALA,30-Oct-68,02-Jan-92,F,C,DBASE,2900
MARY,24-Jun-70,01-Feb-91,F,CPP,ORACLE,4500
NELSON,11-Sep-85,11-Oct-89,M,COBOL,DBASE,2500
PATTRICK,10-Nov-65,21-Apr-90,M,PASCAL,CLIPPER,2800
QADIR,31-Aug-65,21-Apr-91,M,ASSEMBLY,C,3000
RAMESH,03-May-67,28-Feb-91,M,PASCAL,DBASE,3200
REBECCA,01-Jan-67,01-Dec-90,F,BASIC,COBOL,2500
REMITHA,19-Apr-70,20-Apr-93,F,C,ASSEMBLY,3600
REVATHI,02-Dec-69,02-Jan-92,F,PASCAL,BASIC,3700
VIJAYA,14-Dec-65,02-May-92,F,FOXPRO,C,3500
